crop,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
winter wheat,56.7,60.9,52.6,51.6,68.7,62.4,69,61.2,51.2,NA,76.3,60.1,68.4,42.1,68.1,73.4,74.8,74.5,67.6,68.4,64.7,55.2,67.4,69.8,69.8,60.1
rye,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.6,63.1,64.9,62.7,58.5,59.5,57.7,47.7,54.5,56.7,56.4,52.7
winter barley,63.5,NA,NA,NA,NA,NA,NA,NA,60.5,NA,67.1,59.2,61.2,56.1,62.4,62.7,57.7,59.5,59.2,53.9,50.8,47.9,57.2,57.6,58.9,49
summer barley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.2,58.9,61.8,43.9,55,54.2,51.7,44.5,41.9,48,49.3,44.8,47.1,46.2,50.6,39.3
oats,32.7,33.9,47.9,NA,NA,NA,NA,NA,41.2,NA,52.7,NA,NA,NA,51.8,61.9,58.5,49.4,52,53.7,47,49,50.4,53.8,54.2,47.1
triticale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,67.6,66.5,69.8,61.4,64.4,54.6,54.6,59.8,62.2,61.4,57.5
potatoes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345.9,416.6,335.8,348.3,280.1,338.6,357.1,288,334.9,338.8,391.9,261.5
sugar beet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,537.1,NA,NA,489.5,NA,NA,515.4
winter rape,NA,NA,NA,NA,NA,NA,NA,NA,36.1,NA,NA,NA,34.5,19.5,29.7,39.1,36.5,41.5,34.7,34.7,33.4,25.5,31.3,32.2,32.8,32.6
silage maize,455.5,392.6,388.3,390.7,406,454.6,460.7,544.6,432.3,416.1,414.2,468.8,565.8,411.7,462.8,472.5,477.6,476.9,426.9,455.9,401.1,411.9,456.7,432.2,492.3,431.6
