crop,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
winter wheat,64,65.1,65.4,65.7,75.5,74.9,68.7,78.6,68.5,81.2,88.8,80.4,57.6,60.7,69.2,80.5,73.7,74.2,81.2,73.3,83.7,61,72.1,72.2,70.6,65.8
rye,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.4,73.2,60.2,65.4,61.4,62.2,67.7,39.9,61.9,69.4,64.1,59.3
winter barley,65.4,69.2,72.5,69.5,54.9,74.9,65.6,74.1,70.2,67.7,78.5,71.1,52.3,58.4,66,72.6,55.9,58.3,68.9,56.1,69.6,52.7,62.5,65.3,62.4,56.2
summer barley,38.5,32.8,44.6,48.6,53.7,52.6,48.7,54.6,40.2,55.5,61.1,57.8,65.2,38,52.1,51.5,44.3,39,53.5,46.6,55.7,43.6,46.3,47.2,46.5,46
oats,NA,NA,41.2,41.5,48.3,52.9,40.5,42.5,.,46.9,40.9,53.1,63.7,45.7,52.8,62.8,50.2,38.4,55.9,46.9,55.7,45.6,49.7,53.9,51.3,50.1
triticale,NA,NA,NA,NA,NA,NA,57.2,56.4,57.3,72.4,78.5,75.3,55.9,NA,66,79.5,72.8,69,77,66.7,76.6,58.6,66.2,69.2,68.1,63.9
potatoes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258.5,356.4,301.3,300.1,312.5,281.3,352.3,271.3,363,404.8,404.5,314.3
sugar beet,666,630.9,664.7,860,674.1,823.8,628.1,915.5,754.7,629.6,909.2,737.2,708.6,844.7,658.3,738,674.8,664.1,662.6,656.3,639,460.6,672.9,600,693.8,601.4
winter rape,35.4,38.3,38.2,38.6,41.6,35.4,37.3,40.8,41.2,41.2,49,34.7,25.6,17.4,38.3,41.8,36.4,38.9,43.1,36.2,38.2,25.5,30.4,33.5,35,34.2
silage maize,449.5,384.4,343.4,584.5,395.4,469.1,397.4,480.2,455.7,394.4,489,449.8,538.7,519.3,456.3,486.4,466.9,468.5,442.9,448.7,454.4,374.2,463.2,450.4,534.4,479.3
